Relation_Brute,Context_Subject,Context_Object,Candidat_1,Candidat_2,Candidat_3,Candidat_4,Candidat_5
have affair with,<http://dbpedia.org/resource/Louise_of_Mecklenburg-Strelitz>,<http://dbpedia.org/resource/King_Arthur>,dbo:fc (FC) [Score: 0.44],dbo:airDate (airdate) [Score: 0.35],dbo:finalFlight (final flight) [Score: 0.34],dbo:pfizer (Pfizer) [Score: 0.34],dbo:maidenFlight (maiden flight) [Score: 0.33]
voice sharp criticism of,<http://dbpedia.org/resource/Louise_of_Mecklenburg-Strelitz>,<http://dbpedia.org/resource/Helena_Roerich>,dbo:voice (voice) [Score: 0.67],dbo:voiceType (voice type) [Score: 0.62],dbo:narrator (narrator) [Score: 0.45],dbo:focus (focus) [Score: 0.43],dbo:speaker (speaker) [Score: 0.41]
be now neighbour both at,<http://dbpedia.org/resource/Louise_of_Mecklenburg-Strelitz>,<http://dbpedia.org/resource/Kensington_Palace>,dbo:show (show) [Score: 0.39],dbo:status (status) [Score: 0.38],dbo:currentStatus (current status) [Score: 0.38],dbo:currentMember (current member) [Score: 0.37],dbo:member (member) [Score: 0.35]
spend much of her time at,<http://dbpedia.org/resource/Louise_of_Mecklenburg-Strelitz>,<http://dbpedia.org/resource/Kent>,dbo:budget (budget ($)) [Score: 0.63],dbo:cost (cost ($)) [Score: 0.49],dbo:projectBudgetTotal (project budget total ($)) [Score: 0.49],dbo:budgetYear (budget year) [Score: 0.48],dbo:dateBudget (date budget) [Score: 0.44]
stay at,<http://dbpedia.org/resource/Louise_of_Mecklenburg-Strelitz>,<http://dbpedia.org/resource/Kensington_Palace>,dbo:end (end) [Score: 0.45],dbo:fight (fight) [Score: 0.43],dbo:retired (retired) [Score: 0.39],dbo:defeat (defeat) [Score: 0.36],dbo:work (work) [Score: 0.36]
list monument113 in,"<http://dbpedia.org/resource/National_Portrait_Gallery,_London>",<http://dbpedia.org/resource/Kensal_Green_Cemetery>,dbo:dutchMIPCode (monument code for the Monuments Inventory Project) [Score: 0.65],dbo:codeNationalMonument (monument code (national)) [Score: 0.62],dbo:codeMunicipalMonument (monument code (municipal)) [Score: 0.60],dbo:protectionStatus (monument protection status) [Score: 0.55],dbo:codeProvincialMonument (monument code (provinciall)) [Score: 0.53]
become father in law of,<http://dbpedia.org/resource/King_Arthur>,<http://dbpedia.org/resource/Gustaf_VI_Adolf>,dbo:father (father) [Score: 0.73],dbo:parent (parent) [Score: 0.59],dbo:mother (mother) [Score: 0.49],dbo:child (child) [Score: 0.45],dbo:parentOrganisation (parent organisation) [Score: 0.44]
be,<http://dbpedia.org/resource/King_Arthur>,<http://dbpedia.org/resource/Freemasonry>,dbo:show (show) [Score: 0.41],dbo:appearance (appearance) [Score: 0.39],dbo:featuring (featuring) [Score: 0.37],dbo:amgid (amgId) [Score: 0.37],dbo:school (school) [Score: 0.37]
have mild epilepsy3 like his great nephew,<http://dbpedia.org/resource/Leopold_I_of_Belgium>,<http://dbpedia.org/resource/Prince_John_of_the_United_Kingdom>,dbo:mood (mood) [Score: 0.37],dbo:relief (relief) [Score: 0.34],dbo:treatment (treatment) [Score: 0.34],dbo:symptom (symptoms) [Score: 0.33],dbo:severeCases (Severe Cases) [Score: 0.32]
write s adventures in,<http://dbpedia.org/resource/Lewis_Carroll>,<http://dbpedia.org/resource/Alice's_Adventures_in_Wonderland>,dbo:dfE (DfE) [Score: 0.44],dbo:event (event) [Score: 0.41],dbo:patent (patent) [Score: 0.37],dbo:eventDescription (event description) [Score: 0.37],dbo:achievement (achievement) [Score: 0.36]
be very fond of,<http://dbpedia.org/resource/Leopold_I_of_Belgium>,<http://dbpedia.org/resource/Mary_II_of_England>,dbo:appearance (appearance) [Score: 0.35],dbo:mood (mood) [Score: 0.32],dbo:strength (strength) [Score: 0.32],dbo:speciality (speciality) [Score: 0.31],dbo:show (show) [Score: 0.31]
write to baron,<http://dbpedia.org/resource/Prince_consort>,"<http://dbpedia.org/resource/Christian_Friedrich,_Baron_Stockmar>",dbo:chairmanTitle (chairman title) [Score: 0.42],dbo:chancellor (chancellor) [Score: 0.42],dbo:heir (heir) [Score: 0.41],dbo:chairman (chairman) [Score: 0.41],dbo:attorneyGeneral (attorney general) [Score: 0.39]
set against,<http://dbpedia.org/resource/Elizabeth_II>,<http://dbpedia.org/resource/Princess_Beatrice_of_the_United_Kingdom>,dbo:setDesigner (set designer) [Score: 0.43],dbo:eptTitle (ept title) [Score: 0.39],dbo:booster (booster) [Score: 0.38],dbo:ist (ist) [Score: 0.36],dbo:eptItm (ept itm) [Score: 0.36]
pursue,<http://dbpedia.org/resource/Charles_Paul_Alexander>,<http://dbpedia.org/resource/Princess_Beatrice_of_the_United_Kingdom>,dbo:approach (approach) [Score: 0.46],dbo:follows (follows) [Score: 0.45],dbo:route (route) [Score: 0.45],dbo:discipline (discipline) [Score: 0.44],dbo:municipalityAbsorbedBy (absorbed by) [Score: 0.44]
become unpopular in,<http://dbpedia.org/resource/Victoria_Eugenie_of_Battenberg>,<http://dbpedia.org/resource/Spain>,dbo:rivalSchool (rival) [Score: 0.38],dbo:leader (leader) [Score: 0.37],dbo:majorityLeader (majority leader) [Score: 0.37],dbo:collectivityMinority (collectivity minority) [Score: 0.36],dbo:defeat (defeat) [Score: 0.36]
change name of royal house from to,<http://dbpedia.org/resource/George_V>,<http://dbpedia.org/resource/Windsor_Castle>,dbo:alternativeName (alternative name) [Score: 0.62],dbo:oldName (old name) [Score: 0.62],dbo:previousName (previous name) [Score: 0.62],dbo:birthName (birth name) [Score: 0.60],dbo:originalName (original name) [Score: 0.59]
become sir,<http://dbpedia.org/resource/Charles_Paul_Alexander>,<http://dbpedia.org/resource/Charles_Paul_Alexander>,dbo:honours (honours) [Score: 0.46],dbo:leader (leader) [Score: 0.43],dbo:minister (minister) [Score: 0.43],dbo:soccerLeaguePromoted (promoted) [Score: 0.42],dbo:lieutenant (lieutenant) [Score: 0.42]
live in,<http://dbpedia.org/resource/Edward_VII>,<http://dbpedia.org/resource/Quebec>,dbo:livingPlace (livingPlace) [Score: 0.61],dbo:show (show) [Score: 0.48],dbo:work (work) [Score: 0.48],dbo:fight (fight) [Score: 0.46],dbo:house (house) [Score: 0.45]
isolate from other child under so call,<http://dbpedia.org/resource/Queen_Victoria>,<http://dbpedia.org/resource/Kensington_System>,dbo:restriction (restriction) [Score: 0.38],dbo:block (block) [Score: 0.38],dbo:detractor (detractor) [Score: 0.36],dbo:bioavailability (Bioavailability) [Score: 0.33],dbo:municipalityAbsorbedBy (absorbed by) [Score: 0.32]
fight war with,<http://dbpedia.org/resource/Great_Britain>,<http://dbpedia.org/resource/Afghanistan>,dbo:war (wars) [Score: 0.84],dbo:fight (fight) [Score: 0.79],dbo:battle (battle) [Score: 0.78],dbo:defeat (defeat) [Score: 0.62],dbo:victory (victory) [Score: 0.61]
have child together princess victoria adelaide,<http://dbpedia.org/resource/Queen_Victoria>,<http://dbpedia.org/resource/Mary_II_of_England>,dbo:child (child) [Score: 0.66],dbo:parent (parent) [Score: 0.60],dbo:rightChild (right child) [Score: 0.54],dbo:daughter (daughter) [Score: 0.51],dbo:leftChild (left child) [Score: 0.50]
become fluent in both,<http://dbpedia.org/resource/Karim_Wade>,<http://dbpedia.org/resource/Urdu>,dbo:translator (translator) [Score: 0.43],dbo:language (language) [Score: 0.43],dbo:education (education) [Score: 0.41],dbo:deFactoLanguage (de facto language) [Score: 0.39],dbo:languageRegulator (language regulator or academy) [Score: 0.38]
bear on at,<http://dbpedia.org/resource/Queen_Victoria>,<http://dbpedia.org/resource/Kensington_Palace>,dbo:animal (animal) [Score: 0.59],dbo:garrison (garrison) [Score: 0.43],dbo:bird (bird) [Score: 0.43],dbo:fossil (fossil) [Score: 0.41],dbo:fauna (fauna) [Score: 0.41]
be of,<http://dbpedia.org/resource/Edward_VII>,<http://dbpedia.org/resource/Germany>,dbo:show (show) [Score: 0.41],dbo:appearance (appearance) [Score: 0.39],dbo:featuring (featuring) [Score: 0.37],dbo:amgid (amgId) [Score: 0.37],dbo:school (school) [Score: 0.37]
occupy easternmost part of mainland,<http://dbpedia.org/resource/Vietnam>,<http://dbpedia.org/resource/Mainland_Southeast_Asia>,dbo:eastPlace (east place) [Score: 0.64],dbo:northEastPlace (north-east place) [Score: 0.63],dbo:southEastPlace (south-east place) [Score: 0.59],dbo:northWestPlace (north-west place) [Score: 0.54],dbo:outskirts (outskirts) [Score: 0.51]
