Private Entity,External URI,Confidence
:HighSteward,<http://dbpedia.org/resource/Lord_High_Steward>,0.9999367210770058
:TheCupolaRoom,<http://dbpedia.org/resource/Cupola>,0.9993954878899167
:Parliament,<http://dbpedia.org/resource/Parliament_of_England>,0.6941526611649714
:Alix,<http://dbpedia.org/resource/The_Adventures_of_Alix>,0.503048896572322
:Karim,<http://dbpedia.org/resource/Karim_Wade>,0.9741694892764174
:Wrth,NOT_FOUND,0.0
:BalmoralCastle,<http://dbpedia.org/resource/Balmoral_Castle>,1.0
:RangerOfWindsorPark,<http://dbpedia.org/resource/United_States_Army_Rangers>,0.9228708771626799
:EdwardTheSeventh,NOT_FOUND,0.0
:Balfour,<http://dbpedia.org/resource/Arthur_Balfour>,0.9999489330316489
:Queen,<http://dbpedia.org/resource/Elizabeth_II>,0.9248329587835599
:QueensRoad,<http://dbpedia.org/resource/Elizabeth_II>,0.8327478822572556
:TheSiegeOfParis,<http://dbpedia.org/resource/Paris>,0.9999792173761783
:PrinceAlbert,<http://dbpedia.org/resource/Albert_I_of_Germany>,0.5013317990517695
:Spain,<http://dbpedia.org/resource/Spain>,0.9975182783275248
:TheHouseOfAssemblyOfUpperCanada1839,<http://dbpedia.org/resource/United_States_House_of_Representatives>,0.9943410348863202
:Windsor,<http://dbpedia.org/resource/Windsor_Castle>,0.9999998585642047
:PrinceChristian,<http://dbpedia.org/resource/Prince_Christian_of_Schleswig-Holstein>,0.9957073491032359
:ChristChurch,NOT_FOUND,0.0
:TheCurraghCamp,<http://dbpedia.org/resource/Curragh_Camp>,0.9999998518800449
:JohnCampbell,<http://dbpedia.org/resource/John_B._T._Campbell_III>,0.9970130078530319
:Alexander,<http://dbpedia.org/resource/Charles_Paul_Alexander>,0.8676532393550793
:Asia,<http://dbpedia.org/resource/Asia>,0.9981290906312692
:EdwardSchenkerScheener,NOT_FOUND,0.0
:Minoru,NOT_FOUND,0.0
:ThePrinceConsort,<http://dbpedia.org/resource/Prince_consort>,0.9999926460112764
:TheGunsOfAugust,NOT_FOUND,0.0
:TheAlfredRowingClub,<http://dbpedia.org/resource/Rowing>,0.9770884672386754
:Buchanan,<http://dbpedia.org/resource/James_Buchanan>,0.991010100349694
:Lneburg,<http://dbpedia.org/resource/Lüneburg>,0.9762985526772574
:Princess,<http://dbpedia.org/resource/Princess_Helena_of_the_United_Kingdom>,0.9548697194362358
:Disraeli,<http://dbpedia.org/resource/Benjamin_Disraeli>,1.0
:GoldenJubilee,<http://dbpedia.org/resource/Golden_Age_of_Comic_Books>,0.747505167669161
:WilliamIFrederick,<http://dbpedia.org/resource/William_I_of_the_Netherlands>,0.9861618689905393
:Brown,NOT_FOUND,0.0
:TheAustroprussianWar,<http://dbpedia.org/resource/Austro-Prussian_War>,1.0
:London,"<http://dbpedia.org/resource/Pall_Mall,_London>",1.0
:Augusta,<http://dbpedia.org/resource/Augusta_Highway>,0.558924853588455
:Salisbury,<http://dbpedia.org/resource/Salisbury>,0.9155764341661545
:Wonderland,<http://dbpedia.org/resource/Alice's_Adventures_in_Wonderland>,0.9999999944527644
:Bergstrsser,<http://dbpedia.org/resource/Gotthelf_Bergsträsser>,0.9717771011338248
:TheChurchOfEngland,<http://dbpedia.org/resource/England>,0.9526552916174434
:KensingtonPalace,<http://dbpedia.org/resource/Kensington_Palace>,1.0
:Hibbert,<http://dbpedia.org/resource/Roy_Hibbert>,0.9934716036080043
:Helena,<http://dbpedia.org/resource/Helena_Roerich>,0.6938339639696447
:Christmas1877,<http://dbpedia.org/resource/Christmas>,0.9994196345679344
:Stoecker,<http://dbpedia.org/resource/Adolf_Stoecker>,1.0
:TheTheoryOfEvolutionOfDarwin,<http://dbpedia.org/resource/Evolution>,0.9999999983388363
:ArchivesDeBruxelles,<http://dbpedia.org/resource/Brussels>,0.9999999999999432
:EmpressFrederick,<http://dbpedia.org/resource/Emperor>,0.9996542709558202
:ElizabethGarrett,<http://dbpedia.org/resource/Elizabeth_II>,0.9673546710482595
:Foxdavies,NOT_FOUND,0.0
:Manchester,<http://dbpedia.org/resource/Manchester>,0.9998725660265998
:LakeLouise,<http://dbpedia.org/resource/Lake_Louise_Ski_Resort>,0.9999998925901026
:StClaire,NOT_FOUND,0.0
:DeJmLara,<http://dbpedia.org/resource/Lara_de_los_Infantes>,0.9999873674572486
:ArthurBigge,<http://dbpedia.org/resource/King_Arthur>,0.995260133342071
:Peel,<http://dbpedia.org/resource/Robert_Peel>,0.9999974048574382
:Bill,<http://dbpedia.org/resource/Finance_Act>,0.99999999999946
:Alice,<http://dbpedia.org/resource/Portrayals_of_Alice_in_Wonderland>,0.7242881046689366
